antecedent,consequent,support,confidence,lift
REGENCY TEA PLATE GREEN,REGENCY TEA PLATE ROSES,0.01608430393788131,0.837270341207349,37.31591612846147
REGENCY TEA PLATE ROSES,REGENCY TEA PLATE GREEN,0.01608430393788131,0.7168539325842697,37.31591612846147
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.0157817778450058,0.739952718676123,33.659363003448505
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.0157817778450058,0.7178899082568807,33.659363003448505
SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,0.017647355417738115,0.8177570093457944,30.775284186632145
SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,0.017647355417738115,0.6641366223908919,30.775284186632145
SMALL MARSHMALLOWS PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL,0.017596934402258863,0.7807606263982103,29.382970594602856
SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL MARSHMALLOWS PINK BOWL,0.017596934402258863,0.6622390891840607,29.382970594602853
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.01956335400594968,0.7578125,27.936236640334574
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.01956335400594968,0.7211895910780669,27.93623664033457
SET OF 12 MINI LOAF BAKING CASES,SET OF 12 FAIRY CAKE BAKING CASES,0.015428830736651036,0.6891891891891891,24.762118096357227
SET OF 12 FAIRY CAKE BAKING CASES,SET OF 12 MINI LOAF BAKING CASES,0.015428830736651036,0.5543478260869565,24.762118096357227
JUMBO BAG VINTAGE CHRISTMAS,JUMBO BAG 50'S CHRISTMAS,0.016235566984319064,0.6764705882352942,18.738046335852776
JUMBO BAG 50'S CHRISTMAS,JUMBO BAG VINTAGE CHRISTMAS,0.016235566984319064,0.4497206703910614,18.738046335852776
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.016891040185549336,0.5122324159021406,18.538513694502107
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN,0.016891040185549336,0.6113138686131386,18.538513694502107
DOTCOM POSTAGE,SUKI  SHOULDER BAG,0.016941461201028588,0.47592067988668546,17.809311026778552
SUKI  SHOULDER BAG,DOTCOM POSTAGE,0.016941461201028588,0.6339622641509434,17.809311026778552
